Row ID,Ship Mode,Segment,City,State,Country,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,order_day,order_month,order_year,ship_year,ship_month,ship_day,discount_bracket,pib_country,ship_mode_binned,Market_binned
24114,2,0,2,3,19,11,0,5,248.85,7.0,0.25,-3.36,28.46,1,4,11,2011,2011,11,6,0,234217000000.0,1.0,0
36324,3,0,2,7,23,2,0,5,302.67,3.0,0.0,72.6408,28.46,3,30,7,2014,2014,8,4,0,17527200000000.0,0.0,2
14083,3,0,2,7,13,10,0,4,371.79,3.0,0.0,185.85,28.45,1,3,8,2012,2012,8,7,0,2087080000000.0,0.0,4
41539,2,2,2,7,12,4,1,3,246.48,8.0,0.0,68.88,28.45,1,30,6,2014,2014,7,3,0,432687000000.0,1.0,3
50903,3,0,2,7,18,0,1,12,237.6,8.0,0.0,106.8,28.45,1,14,2,2011,2011,2,18,0,8106590716.75,0.0,1
2651,2,2,2,7,1,10,2,13,184.76,2.0,0.0,40.64,28.45,1,13,5,2014,2014,5,17,0,2456040000000.0,1.0,5
9863,3,2,2,7,14,6,2,11,404.4,5.0,0.0,113.2,28.44,3,27,7,2011,2011,8,3,0,1180490000000.0,0.0,5
34506,3,1,2,0,23,12,2,13,377.9280000000001,9.0,0.2,141.723,28.44,3,9,1,2013,2013,1,15,0,16784800000000.0,0.0,2
18426,1,0,2,7,18,2,0,5,132.87,2.0,0.5,-55.83,28.43,1,9,5,2014,2014,5,12,1,9297230738.0,1.0,4
19843,1,2,2,7,22,6,0,5,144.0,2.0,0.0,30.24,28.43,1,5,7,2014,2014,7,8,0,3087170000000.0,1.0,4
49285,3,2,2,7,18,4,2,6,260.34,1.0,0.0,46.86,28.43,2,25,7,2011,2011,8,1,0,8106590716.75,0.0,3
51119,0,1,2,7,12,4,0,9,103.92,2.0,0.0,0.0,28.43,0,2,11,2011,2011,11,2,0,580765000000.0,1.0,3
