Country Name,2011,2012,2013,2014,,,,,
Aruba,2549720670,2534636872,2727849721,2790849162,,,,,
Africa Eastern and Southern,9.43378E+11,9.50521E+11,9.64242E+11,9.84807E+11,,,,,
Afghanistan,17805113119,19907317066,20146404996,20497126770,,,,,
Africa Western and Central,6.70963E+11,7.27571E+11,8.20788E+11,8.64967E+11,,,,,
Angola,1.1179E+11,1.28053E+11,1.3671E+11,1.45712E+11,,,,,
Albania,12890764531,12319830437,12776220507,13228147516,,,,,
Andorra,3629203786,3188808943,3193704343,3271808157,,,,,
Arab World,2.50178E+12,2.74055E+12,2.79958E+12,2.83168E+12,,,,,
United Arab Emirates,3.50666E+11,3.74591E+11,3.90108E+11,4.03137E+11,,,,,
Argentina,5.30163E+11,5.45982E+11,5.52025E+11,5.2632E+11,,,,,
Armenia,10142111334,10619320049,11121465767,11609512940,,,,,
American Samoa,570000000,640000000,638000000,643000000,,,,,
Antigua and Barbuda,1137637037,1199948148,1181448148,1249733333,,,,,
Australia,1.39791E+12,1.54651E+12,1.57634E+12,1.4675E+12,,,,,
Austria,4.3112E+11,4.09425E+11,4.30069E+11,4.41996E+11,,,,,
Azerbaijan,65951627200,69683935845,74164435946,75244294275,,,,,
Burundi,2235820868,2333308099,2451625333,2705783272,,,,,
Belgium,5.22646E+11,4.96181E+11,5.21643E+11,5.34678E+11,,,,,
Benin,10693321954,11141358945,12517845732,13284528654,,,,,
Burkina Faso,12080296644,12561016091,13444301139,13943016924,,,,,
Bangladesh,1.28638E+11,1.33356E+11,1.4999E+11,1.72885E+11,,,,,
Bulgaria,57678241024,54300857424,55810138436,57082011260,,,,,
Bahrain,28776595745,30749308511,32539468085,33387712766,,,,,
"Bahamas, The",10070450000,10720500000,10494600000,11142900000,,,,,
Bosnia and Herzegovina,18644723854,17221192466,18172335776,18560861389,,,,,
Belarus,61757788945,65685102555,75527984234,78813839984,,,,,
Belize,1460797903,1522897506,1579411253,1667335061,,,,,
Bermuda,6312691000,6378188000,6465756000,6413988000,,,,,
Bolivia,23963033431,27084497483,30659338880,32996188013,,,,,
Brazil,2.61616E+12,2.46523E+12,2.47282E+12,2.45604E+12,,,,,
Barbados,4657500000,4610000000,4677000000,4696500000,,,,,
Brunei Darussalam,18525319978,19047940301,18093829923,17098342541,,,,,
Bhutan,1777101317,1781281282,1756215665,1907090813,,,,,
Botswana,15351972361,14380004175,14901750991,15654660710,,,,,
Central African Republic,2437982840,2510126699,1691544192,1894813505,,,,,
Canada,1.79333E+12,1.82837E+12,1.8466E+12,1.80575E+12,,,,,
Central Europe and the Baltics,1.44911E+12,1.35332E+12,1.42272E+12,1.46565E+12,,,,,
Switzerland,7.22038E+11,6.9211E+11,7.12748E+11,7.34397E+11,,,,,
Channel Islands,,,,,,,,,
Chile,2.52252E+11,2.67122E+11,2.78384E+11,2.60542E+11,,,,,
China,7.5515E+12,8.53223E+12,9.57041E+12,1.04757E+13,,,,,
Cote d'Ivoire,36693712825,36302305578,42760237561,48843008580,,,,,
Cameroon,30630912185,30155064574,33728622819,36386546918,,,,,
"Congo, Dem. Rep.",25839749199,29306235826,32679745298,35909040266,,,,,
"Congo, Rep.",15634897273,17693924573,17953617927,17889079958,,,,,
Colombia,3.34944E+11,3.70921E+11,3.82116E+11,3.81112E+11,,,,,
Comoros,1023086184,1015843369,1116224161,1149587652,,,,,
Cabo Verde,1865915544,1741809809,1850470042,1859898513,,,,,
Costa Rica,42762617082,47231651863,50949672206,52016408951,,,,,
Caribbean small states,69668271733,72051115324,73345409464,74470922980,,,,,
Cuba,68990000000,73141000000,77148000000,80656000000,,,,,
Curacao,3038699609,3131096089,3147616201,3158406034,,,,,
Cayman Islands,4186223809,4291159006,4405954638,4563017881,,,,,
Cyprus,27565469098,24978513427,23900872626,23156850007,,,,,
Czech Republic,2.29563E+11,2.08858E+11,2.11686E+11,2.09359E+11,,,,,
Germany,3.74441E+12,3.52734E+12,3.73274E+12,3.88392E+12,,,,,
Djibouti,1239144502,1353632942,2042817163,2214679081,,,,,
Dominica,501025925.9,485996296.3,498296296.3,520207407.4,,,,,
Denmark,3.44003E+11,3.27149E+11,3.43584E+11,3.52994E+11,,,,,
Dominican Republic,58029750746,60681537196,62682163837,67179914027,,,,,
Algeria,2.00013E+11,2.09059E+11,2.09755E+11,2.1381E+11,,,,,
East Asia & Pacific (excluding high income),9.60821E+12,1.07191E+13,1.18283E+13,1.27512E+13,,,,,
Early-demographic dividend,9.65188E+12,1.00962E+13,1.02509E+13,1.06034E+13,,,,,
East Asia & Pacific,1.97519E+13,2.11318E+13,2.13676E+13,2.20384E+13,,,,,
Europe & Central Asia (excluding high income),3.85333E+12,4.08533E+12,4.34102E+12,4.04579E+12,,,,,
Europe & Central Asia,2.32964E+13,2.2463E+13,2.34775E+13,2.3794E+13,,,,,
Ecuador,79276664000,87924544000,95129659000,1.01726E+11,,,,,
"Egypt, Arab Rep.",2.3599E+11,2.79117E+11,2.88434E+11,3.05595E+11,,,,,
Euro area,1.36197E+13,1.26389E+13,1.31917E+13,1.3491E+13,,,,,
Eritrea,2065001626,,,,,,,,
Spain,1.47877E+12,1.32482E+12,1.35476E+12,1.3694E+12,,,,,
Estonia,23183616046,23020466785,25108615092,26598657881,,,,,
Ethiopia,31952763089,43310721414,47648211133,55612228234,,,,,
European Union,1.57418E+13,1.46369E+13,1.5296E+13,1.56342E+13,,,,,
Fragile and conflict affected situations,1.53948E+12,1.73813E+12,1.80653E+12,1.9587E+12,,,,,
Finland,2.75244E+11,2.58305E+11,2.71285E+11,2.74497E+11,,,,,
Fiji,3774530616,3972012571,4190143206,4856963230,,,,,
France,2.86141E+12,2.68383E+12,2.81108E+12,2.85217E+12,,,,,
Faroe Islands,2490807831,2366301252,2627049837,2850743875,,,,,
"Micronesia, Fed. Sts.",311301600,327248700,317214400,319271200,,,,,
Gabon,18210308748,17170465294,17595745653,18203968002,,,,,
United Kingdom,2.67489E+12,2.71916E+12,2.80329E+12,3.08717E+12,,,,,
Georgia,15107441447,16488403076,17189551521,17627003455,,,,,
Ghana,39337314810,41270954737,62823043706,54782847753,,,,,
Gibraltar,,,,,,,,,
Guinea,6785137173,7638045254,8376613843,8778473615,,,,,
"Gambia, The",1409694554,1415006238,1375608956,1229460602,,,,,
Guinea-Bissau,1099818652,989271229.6,1046087418,1054915645,,,,,
Equatorial Guinea,21357343682,22388344124,21948834290,21765453087,,,,,
Greece,2.82626E+11,2.42043E+11,2.3884E+11,2.35145E+11,,,,,
Grenada,778655925.9,799882259.3,842620111.1,911497407.4,,,,,
Greenland,2684467376,2609667674,2684952727,2842048998,,,,,
Guatemala,46876114650,49593961142,52996540704,57852399964,,,,,
Guam,4984000000,5265000000,5399000000,5610000000,,,,,
Guyana,3691384318,4063089192,4167800259,4127659492,,,,,
High income,4.91095E+13,4.91591E+13,4.97509E+13,5.08362E+13,,,,,
"Hong Kong SAR, China",2.48514E+11,2.62629E+11,2.75697E+11,2.91459E+11,,,,,
Honduras,17588098575,18400538859,18372173381,19618567250,,,,,
Heavily indebted poor countries (HIPC),5.59477E+11,5.79142E+11,6.50021E+11,6.87772E+11,,,,,
Croatia,63169910822,57192346923,58889082315,58330289757,,,,,
Haiti,13008754111,13708926466,14902474091,15139264670,,,,,
Hungary,1.42E+11,1.28857E+11,1.35733E+11,1.41079E+11,,,,,
IBRD only,2.36961E+13,2.51891E+13,2.66069E+13,2.75043E+13,,,,,
IDA & IBRD total,2.53687E+13,2.69547E+13,2.85276E+13,2.95592E+13,,,,,
IDA total,1.67251E+12,1.76543E+12,1.92073E+12,2.05496E+12,,,,,
IDA blend,8.14198E+11,9.00517E+11,9.77961E+11,1.04923E+12,,,,,
Indonesia,8.92969E+11,9.1787E+11,9.12524E+11,8.90815E+11,,,,,
IDA only,8.58491E+11,8.649E+11,9.42771E+11,1.00573E+12,,,,,
Isle of Man,6566098382,6690725118,7000748788,7708834951,,,,,
India,1.82305E+12,1.82764E+12,1.85672E+12,2.03913E+12,,,,,
Not classified,,,,,,,,,
Ireland,2.38663E+11,2.2551E+11,2.38212E+11,2.58625E+11,,,,,
"Iran, Islamic Rep.",5.80765E+11,5.98868E+11,4.60293E+11,4.32687E+11,,,,,
Iraq,1.8575E+11,2.18002E+11,2.34638E+11,2.28416E+11,,,,,
Iceland,15221622926,14751508134,16125060515,17867662178,,,,,
Israel,2.62294E+11,2.58417E+11,2.94167E+11,3.10945E+11,,,,,
Italy,2.29199E+12,2.08708E+12,2.14132E+12,2.15913E+12,,,,,
Jamaica,14444655300,14807086889,14264202737,13899228824,,,,,
Jordan,29524149155,31634561690,34454440141,36847643521,,,,,
Japan,6.23315E+12,6.27236E+12,5.21233E+12,4.89699E+12,,,,,
Kazakhstan,1.92627E+11,2.07999E+11,2.36635E+11,2.21416E+11,,,,,
Kenya,46869457318,56396706006,61671425370,68285768554,,,,,
Kyrgyz Republic,6197766119,6605139933,7335027592,7468096567,,,,,
Cambodia,12829541141,14054443213,15227991395,16702610842,,,,,
Kiribati,181705153.6,190243432.8,185114059.6,179703165.4,,,,,
St. Kitts and Nevis,817759259.3,800414814.8,839770370.4,916566666.7,,,,,
"Korea, Rep.",1.25322E+12,1.27843E+12,1.3708E+12,1.48432E+12,,,,,
Kuwait,1.54068E+11,1.7407E+11,1.74161E+11,1.62631E+11,,,,,
Latin America & Caribbean (excluding high income),5.31006E+12,5.28824E+12,5.43153E+12,5.46042E+12,,,,,
Lao PDR,8750107402,10192848926,11983252611,13279248479,,,,,
Lebanon,39927125961,44035991893,46909335551,48133414840,,,,,
Liberia,2398000000,2791614000,3177198100,3225652000,,,,,
Libya,34699395524,81873662519,65502870174,41142722414,,,,,
St. Lucia,1576988407,1605146778,1664816741,1755130815,,,,,
Latin America & Caribbean,6.08693E+12,6.15039E+12,6.30327E+12,6.42694E+12,,,,,
Least developed countries: UN classification,7.76258E+11,8.15688E+11,8.93888E+11,9.6335E+11,,,,,
Low income,4.03962E+11,3.84448E+11,3.95478E+11,4.23854E+11,,,,,
Liechtenstein,5739977477,5456009385,6391735894,6657170923,,,,,
Sri Lanka,65292753005,68434409315,74317806538,79356449841,,,,,
Lower middle income,5.93584E+12,6.23015E+12,6.34369E+12,6.59691E+12,,,,,
Low & middle income,2.42271E+13,2.57715E+13,2.73175E+13,2.8239E+13,,,,,
Lesotho,2579421686,2477702253,2367113170,2441053176,,,,,
Late-demographic dividend,1.64621E+13,1.76099E+13,1.8979E+13,1.97018E+13,,,,,
Lithuania,43535051482,42927454291,46523420074,48533659592,,,,,
Luxembourg,61615545000,59779802783,65184744717,68713294386,,,,,
Latvia,27474380566,28169902669,30204783462,31345148671,,,,,
"Macao SAR, China",36845925519,43189526778,51536304808,54903031138,,,,,
St. Martin (French part),,,,,,,,,
Morocco,1.0137E+11,98266306615,1.06826E+11,1.10081E+11,,,,,
Monaco,6088808463,5743029680,6555983530,7069616049,,,,,
Moldova,8414360656,8709165249,9496684701,9510219299,,,,,
Madagascar,11551819618,11578974888,12423555269,12522957228,,,,,
